,ID,genre,positive,negative,neutral,compund
0,214,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
1,387,Sea and Adventure,0.0,0.0,0.002008032128514056,0.0
2,200,Allegories,0.00020529801324503313,0.0,0.0005305371596762325,0.0006653421633554084
3,311,Love and Romance,4.034497880426838e-05,0.0,0.00010583248063148662,9.310042391463237e-05
4,251,Ghost and Horror,0.00011634615384615385,0.0,0.0008451923076923076,0.0006913461538461538
5,183,Christmas Stories,0.00029571984435797666,0.00023929961089494162,0.0014105058365758755,0.00020330739299610895
6,278,Humorous and Wit and Satire,5.3201656578528194e-05,0.0,0.00026537113730487415,0.000167792290538388
7,304,Humorous and Wit and Satire,8.069653854321511e-06,0.0,9.811000212359312e-05,1.0692291356976003e-05
8,393,Sea and Adventure,0.0,0.0,0.0002878526194588371,0.0
9,106,Detective and Mystery,6.80862986831045e-05,0.0,0.00021210423087699635,0.00021622303166152985
10,233,Christmas Stories,0.00010836401893740136,0.0,0.0004176749079431878,0.00041788532351394003
11,318,Love and Romance,0.0,0.0,0.00012285012285012285,0.0
12,136,Christmas Stories,0.00010836401893740136,0.0,0.0004176749079431878,0.00041788532351394003
13,281,Humorous and Wit and Satire,5.3201656578528194e-05,0.0,0.00026537113730487415,0.000167792290538388
14,107,Detective and Mystery,0.0,0.0,0.0002365744026496333,0.0
15,368,Literary,4.0668947168377046e-05,0.0,3.5347776510832386e-05,2.4188521474724438e-05
16,334,Western Stories,6.148282097649186e-05,2.320675105485232e-05,0.00021699819168173598,0.00025666063893911995
17,342,Literary,0.0,0.0,0.00018688095683049897,0.0
18,190,Allegories,0.00020529801324503313,0.0,0.0005305371596762325,0.0006653421633554084
19,299,Humorous and Wit and Satire,1.2025554302893649e-05,4.321683577602405e-06,0.00017173994738819994,9.098083427282976e-05
20,211,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
21,340,Literary,0.0,0.0,0.00028851702250432774,0.0
22,170,Love and Romance,4.5329868629998556e-05,0.0,9.903277031904143e-05,0.00011940233867475097
23,143,Love and Romance,0.0,0.0,0.00021177467174925878,0.0
24,192,Allegories,0.00020529801324503313,0.0,0.0005305371596762325,0.0006653421633554084
25,374,Literary,0.0,7.675021607605877e-05,9.611063094209162e-05,-8.515125324114088e-05
26,357,Literary,2.8267562272600057e-05,4.2541281835992164e-05,0.00020906801007556676,-2.67562272600056e-05
27,402,Sea and Adventure,0.0,0.0,0.00032530904359141186,0.0
28,350,Literary,4.863945578231292e-05,3.231292517006803e-05,0.00025918367346938775,8.503401360544217e-05
29,396,Sea and Adventure,7.399846899719315e-05,0.0,0.0001811686654758867,0.00021829548354171984
30,152,Western Stories,0.00020206489675516227,0.00010176991150442479,0.0011710914454277287,0.0012199115044247786
31,154,Western Stories,2.1027506251420776e-05,1.2502841554898841e-05,8.013184814730621e-05,4.568083655376222e-05
32,292,Humorous and Wit and Satire,5.3201656578528194e-05,0.0,0.00026537113730487415,0.000167792290538388
33,126,Detective and Mystery,4.8845234934961504e-05,1.645872046721529e-05,0.00019989381470666314,0.0001833820015927794
34,412,Sea and Adventure,2.389705882352941e-05,3.8143382352941176e-05,0.00039751838235294116,-0.00019108455882352942
35,277,Ghost and Horror,0.00011634615384615385,0.0,0.0008451923076923076,0.0006913461538461538
36,391,Sea and Adventure,0.0,1.5408320493066255e-05,0.0003697996918335901,-0.00010523882896764252
37,410,Sea and Adventure,0.0,1.1013215859030838e-05,0.00030365009439899305,-0.00010355569540591567
38,282,Humorous and Wit and Satire,8.069653854321511e-06,0.0,9.811000212359312e-05,1.0692291356976003e-05
39,400,Sea and Adventure,8.758974358974359e-05,0.0,0.00011753846153846153,0.00011827692307692308
40,363,Literary,0.0,1.9559615835090185e-05,9.75638322792223e-05,-4.936753338018271e-05
41,173,Western Stories,6.148282097649186e-05,2.320675105485232e-05,0.00021699819168173598,0.00025666063893911995
42,315,Love and Romance,4.5329868629998556e-05,0.0,9.903277031904143e-05,0.00011940233867475097
43,373,Literary,0.0,0.0,0.00017232465965879716,0.0
44,343,Literary,3.4317803660565725e-05,1.9966722129783696e-05,0.00015370216306156406,7.940931780366056e-05
45,263,Ghost and Horror,0.0,0.0002262773722627737,0.0015985401459854014,-0.0008698905109489052
46,271,Ghost and Horror,0.0,0.0,0.00028653295128939826,0.0
47,274,Ghost and Horror,5.0505050505050505e-05,3.254769921436588e-05,0.000478675645342312,7.18294051627385e-05
48,256,Ghost and Horror,5.0505050505050505e-05,3.254769921436588e-05,0.000478675645342312,7.18294051627385e-05
49,238,Christmas Stories,8.008109477952357e-05,0.0,0.00042676127724277746,0.0003987328940699442
50,225,Christmas Stories,0.00029571984435797666,0.00023929961089494162,0.0014105058365758755,0.00020330739299610895
51,201,Allegories,5.384063173007897e-05,0.0,0.00018545106484804978,0.0001053840631730079
52,261,Ghost and Horror,0.0,0.0,0.0004210526315789474,0.0
53,403,Sea and Adventure,0.0,0.0,0.0004144218814753419,0.0
54,207,Allegories,0.00020529801324503313,0.0,0.0005305371596762325,0.0006653421633554084
55,371,Literary,0.0,2.1891418563922943e-05,0.0004159369527145359,-9.908056042031524e-05
56,303,Humorous and Wit and Satire,5.3201656578528194e-05,0.0,0.00026537113730487415,0.000167792290538388
57,222,Christmas Stories,0.00028507795100222717,0.00033184855233853004,0.0016102449888641425,-0.0005040089086859688
58,133,Detective and Mystery,0.0,0.0,0.00017988846914912754,0.0
59,336,Western Stories,1.5921616656460503e-05,0.0,0.00018820167381098185,6.844253929373342e-05
