,index,ID,genre,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q
10,133,233,Christmas Stories,143747,1901,31704,0.0026460655929447774,0.0029612390783863816,0.0026473865491653684,0.38357935907141055,0.00012616704516780217,23,0.22035074438556648,0.15799268231138028,0.05428337118344689,0.0,0.004699722432500631,0.05999242997728993,382,901,0.4239733629300777,0.062358062074186225,0.03879636638909917,0.0010724198839263184,0.00041004289679535705,0.003942720161493818,0.0028703002775674995
11,218,318,Love and Romance,697956,8140,156611,0.012847832351209868,0.01267989800003427,0.013077525071011151,0.37697862857653675,0.0004405820791642988,51,0.164100861369891,0.1528564404799152,0.06625332831027195,0.0,0.003818378019423923,0.05197591484633902,5191,3575,1.452027972027972,0.026856351086449865,0.04785104494575732,0.0003064918811577731,0.0007023772276532299,0.020266775641557745,0.005657329306370562
12,36,136,Christmas Stories,143747,1901,31704,0.0026460655929447774,0.0029612390783863816,0.0026473865491653684,0.38357935907141055,0.00012616704516780217,23,0.22035074438556648,0.15799268231138028,0.05428337118344689,0.0,0.004699722432500631,0.05999242997728993,382,901,0.4239733629300777,0.062358062074186225,0.03879636638909917,0.0010724198839263184,0.00041004289679535705,0.003942720161493818,0.0028703002775674995
13,181,281,Humorous and Wit and Satire,293900,3139,65817,0.005410051533363967,0.004889705137851053,0.005495932390437076,0.417597277299178,6.077457191910905e-05,120,0.15395718431408298,0.173602564686935,0.05161280520230336,0.0,0.004785997538629837,0.047692845313520825,440,1620,0.2716049382716049,0.04624944923044198,0.057705456037194035,0.0014130087971192854,0.0025221447346430253,0.0020055608733305984,0.00416305817645897
14,7,107,Detective and Mystery,366145,4227,82911,0.006739922826415615,0.006584512143261039,0.006923336682369728,0.39562904801534177,7.23667547128849e-05,126,0.17567029706552809,0.17196753144938548,0.046495639903028546,0.0,0.005837584880172715,0.05098237869522741,1581,2286,0.6916010498687664,0.046157928381035086,0.048509847909203846,0.0023157361508123167,0.0003015281446370204,0.0020624525093172197,0.005005367200974539
15,124,368,Literary,954228,13155,224431,0.017565235299689796,0.020491899040595923,0.01874071444031456,0.3732862216004028,0.0002539756094300698,710,0.15920260570063852,0.17180336049832687,0.039428599435906805,0.0,0.003560114244467119,0.060553132143064015,3298,7941,0.41531293287998994,0.08320151850680164,0.06078928490270952,0.0004188369699373081,0.0006282554549059622,0.013616657235408655,0.0055384505705539785
16,234,334,Western Stories,356060,3318,77339,0.006554280193839993,0.005168538275689645,0.006458056659282754,0.3984018412443916,0.000543063654818397,168,0.17305628466879583,0.15622131136942552,0.051073843726968285,0.0,0.004667761414034317,0.04290202873065336,245,1845,0.13279132791327913,0.034937095126650206,0.07968812630109001,0.0004525530456819974,0.011068154488679708,0.002637737751975071,0.005792678984729567
17,570,342,Literary,428091,5351,103212,0.007880212218337236,0.00833539732164415,0.008618535847604593,0.3843932876022168,0.0001162655505173817,267,0.1484420416230671,0.17524125101732357,0.04629306669767081,0.0,0.0053288377320466615,0.05184474673487579,3212,2027,1.584607794770597,0.045285431926520174,0.0682963221330853,0.0015017633608495136,0.004127427043367051,0.0012110994845560593,0.007266596907336356
18,90,190,Allegories,140074,1359,30962,0.002578453754625465,0.0021169510297354512,0.0025854271491060478,0.40349460629158324,0.0,77,0.1807376784445449,0.15609456753439702,0.059298494929268135,0.0,0.0050384342096763774,0.04389251340352691,649,608,1.0674342105263157,0.0375621729862412,0.06633938376073897,0.001873264001033525,0.007170079452231768,0.0036173373813061173,0.0029390866223112204
19,199,299,Humorous and Wit and Satire,368128,5322,82436,0.006776425487833311,0.008290223237860243,0.006883672645943613,0.32084283565432575,0.0002668736959580766,319,0.21571886069193072,0.14594351982143725,0.0558008637003251,0.0,0.006817409869474501,0.06460769566694163,562,3681,0.15267590328715022,0.06563879858314328,0.06562666796059974,0.0010917560289194041,0.004257848512785676,0.0034450968023678973,0.008054733368916493
20,111,211,Allegories,337103,4179,73579,0.006205323586429374,0.00650974124596354,0.0061440844972570855,0.3728237676510961,6.795417170660107e-05,9,0.18615365797306296,0.1546365131355414,0.06452928145258838,0.0,0.005653787085989209,0.056796096712377175,1722,2433,0.7077681874229347,0.045705975889859876,0.06870166759537367,0.003261800241916851,0.010492124111499204,0.005653787085989209,0.005653787085989209
21,733,340,Literary,269336,3466,60210,0.004957882408268517,0.005399081875690268,0.005027729754139757,0.36967281182527817,8.304268393954493e-05,118,0.170436804517522,0.16176714831423353,0.051968111609367214,0.0,0.006527154957648231,0.05758179704368045,1191,1547,0.7698771816418876,0.051602723800033216,0.05263245308088357,0.0007972097658196312,0.0014117256269722638,0.002391629297458894,0.005264906161767148
22,70,170,Love and Romance,376355,6927,88429,0.00692786643361414,0.01079037511624538,0.007384107530789313,0.36627124585825915,5.6542536950547896e-05,223,0.16153071956032522,0.16780694116183606,0.03955715885060331,0.0,0.0043311583304119685,0.07833403069128905,1633,1825,0.8947945205479452,0.06432279003494329,0.048004613871015164,0.0007463614877472322,0.006140519512829502,0.004873966685137229,0.00969139083332391
