,index,ID,genre_x,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q,genre_y,positive_x,negative_x,neutral,compund,genre,positive_y,negative_y,anger,disgust,fear,sadness,anticipation,joy,surprise,trust
0,114,214,Allegories,337103,4179,73579,0.006205323586429374,0.00650974124596354,0.0061440844972570855,0.3728237676510961,6.795417170660108e-05,9,0.18615365797306296,0.1546365131355414,0.06452928145258838,0.0,0.005653787085989209,0.056796096712377175,1722,2433,0.7077681874229347,0.04570597588985988,0.06870166759537367,0.003261800241916851,0.010492124111499204,0.005653787085989209,0.005653787085989209,Allegories,5.384063173007897e-05,0.0,0.00018545106484804975,0.00010538406317300791,Allegories,0.08239663766982648,0.12970384126673515,0.05981819958948353,0.026390382171830817,0.07496823379923752,0.06753982992864856,0.06235949565047466,0.04711171928452781,0.05033721043886272,0.06235949565047466
1,315,387,Sea and Adventure,50959,498,10839,0.0009380429264671463,0.0007757480594615559,0.0009050915596266537,0.4001291632069379,0.0,9,0.1895008764646185,0.15554940492665376,0.06365900913368391,0.0,0.007288495248639173,0.046037457330012,31,268,0.11567164179104478,0.045852938462957835,0.05840022142264047,0.0007380754682166251,0.006642679213949626,0.0005535566011624688,0.0011071132023249377,Sea and Adventure,0.0,0.0,0.002008032128514056,0.0,Sea and Adventure,0.08756137479541724,0.08756137479541724,0.04009819967266776,0.01963993453355156,0.03846153846153847,0.027823240589198054,0.04337152209492635,0.03436988543371524,0.03927986906710312,0.07364975450081826
2,100,200,Allegories,140074,1359,30962,0.0025784537546254646,0.0021169510297354512,0.002585427149106048,0.4034946062915832,0.0,77,0.1807376784445449,0.15609456753439702,0.059298494929268135,0.0,0.005038434209676378,0.043892513403526914,649,608,1.0674342105263157,0.0375621729862412,0.06633938376073897,0.001873264001033525,0.007170079452231769,0.0036173373813061173,0.0029390866223112204,Allegories,0.00020529801324503316,0.0,0.0005305371596762325,0.0006653421633554084,Allegories,0.10836594911937247,0.07729941291585085,0.031066536203522507,0.017367906066536203,0.03938356164383562,0.053326810176125235,0.06824853228962803,0.0511252446183953,0.038405088062622314,0.06629158512720146
3,211,311,Love and Romance,584889,6841,132627,0.010766517969709823,0.010656410591920693,0.011074783492813378,0.3653554706055328,6.785948562509896e-05,391,0.1636092198421136,0.16487593024044878,0.059791746778559425,0.0,0.003098916510212853,0.05158828896076968,2932,1560,1.8794871794871797,0.049597744049100105,0.059897305978420676,0.0016814072549330074,0.005149780964660288,0.0023675420540312303,0.004818023479382026,Love and Romance,4.0344978804268375e-05,0.0,0.00010583248063148662,9.310042391463236e-05,Love and Romance,0.09212549108922063,0.07754939361156989,0.032568467801628344,0.013551215623754564,0.04110914991744038,0.03655411945567396,0.054888117064283794,0.047258441040825036,0.0456641803792068,0.0612082218299847
4,151,251,Ghost and Horror,126433,1040,26347,0.0023273529959775647,0.0016200361081124867,0.002200059721513373,0.38353512733897605,7.590997077466125e-05,15,0.17220176870231904,0.14324211485178578,0.07367062663680875,0.0,0.003188218772535773,0.03996659961285915,414,63,6.571428571428571,0.04528029756708544,0.08186890348047215,0.0026188939917258128,0.00732531217975481,0.0008350096785212737,0.0007970546931339432,Ghost and Horror,0.00011634615384615383,0.0,0.0008451923076923076,0.0006913461538461537,Ghost and Horror,0.09782960803369008,0.10009718172983524,0.04437965662455473,0.025267249757045723,0.05150631681243945,0.057013281503077634,0.05668934240362832,0.04535147392290265,0.03919663103336585,0.057013281503077634
5,83,183,Christmas Stories,35681,514,8444,0.0006568086041577396,0.0008006716918940558,0.0007051013128044528,0.3780198957839887,0.0,28,0.16283751776409286,0.16200852676456656,0.05281856939838939,0.0,0.0045002368545712925,0.06099005210800568,263,185,1.4216216216216215,0.04997631454287068,0.06371387967787777,0.00118427285646613,0.0069872098531501645,0.0045002368545712925,0.006513500710563714,Christmas Stories,0.00029571984435797666,0.0002392996108949416,0.0014105058365758757,0.00020330739299610892,Christmas Stories,0.08287795992714032,0.10564663023679438,0.04007285974499086,0.02185792349726776,0.039162112932604715,0.06466302367941708,0.04098360655737702,0.043715846994535484,0.035519125683060086,0.04462659380692164
6,178,278,Humorous and Wit and Satire,293900,3139,65817,0.0054100515333639675,0.004889705137851053,0.005495932390437076,0.41759727729917795,6.077457191910905e-05,120,0.15395718431408298,0.173602564686935,0.05161280520230336,0.0,0.004785997538629837,0.047692845313520825,440,1620,0.2716049382716049,0.04624944923044198,0.057705456037194035,0.0014130087971192856,0.002522144734643025,0.0020055608733305984,0.0041630581764589706,Humorous and Wit and Satire,5.3201656578528194e-05,0.0,0.0002653711373048741,0.000167792290538388,Humorous and Wit and Satire,0.08254771211772853,0.08013336399172244,0.03092664980455258,0.015750747298229496,0.034835594389514585,0.03702000459875807,0.05173603127155621,0.0351805012646583,0.042653483559438606,0.0597838583582427
7,204,304,Humorous and Wit and Satire,590333,9418,131131,0.010866730016486392,0.01467067314058019,0.010949862653879759,0.3328503557511191,0.00012964135101539682,202,0.19559829483493604,0.16407256865272132,0.05073552401796677,0.0,0.004156149194317133,0.07206533924091175,2424,3955,0.6128950695322377,0.06865653430538926,0.04606843538141248,0.0033859270500491874,0.012293050460989392,0.007755603175450505,0.006238036772387917,Humorous and Wit and Satire,8.069653854321511e-06,0.0,9.811000212359311e-05,1.0692291356976004e-05,Humorous and Wit and Satire,0.07420574459680422,0.10970035551040792,0.04576491168669886,0.02291067095536369,0.05310084081033715,0.053552282602561035,0.0511822131933856,0.03397099486484962,0.04740138818351048,0.0455956210146149
8,520,393,Sea and Adventure,438437,3474,97414,0.008070659285925475,0.005411543691906518,0.008134384093502246,0.3891021824378426,0.0004516804566078798,126,0.18438828094524398,0.1441476584474511,0.0555464306978463,0.0,0.004352557127312296,0.035662225142176686,794,2513,0.3159570234779148,0.021711458311946947,0.0860348615188782,9.238918430615721e-05,0.003941938530396042,0.010224403063214734,0.003746894696860821,Sea and Adventure,0.0,0.0,0.0002878526194588371,0.0,Sea and Adventure,0.07579892596179197,0.0932300378554434,0.03908794788273635,0.013293423716876446,0.05044458138920712,0.049740294039968616,0.0452504621885732,0.03565454705519868,0.04762743199225313,0.051853156087684114
9,6,106,Detective and Mystery,305006,3569,67256,0.0056144885266594426,0.005559527759474485,0.005616093544999559,0.3794605685738076,8.921137147615082e-05,81,0.16929344593790888,0.17421493993100987,0.05774949446889498,0.0,0.005085048174140597,0.05306589746639705,854,1397,0.6113099498926271,0.04841203758772451,0.05437433091471393,0.0002378969906030689,0.0017693588676103247,0.0009664565243249672,0.004564648507196384,Detective and Mystery,6.80862986831045e-05,0.0,0.00021210423087699635,0.00021622303166152982,Detective and Mystery,0.08139784946236517,0.07505376344085983,0.03967741935483853,0.014408602150537606,0.04741935483870945,0.03397849462365577,0.052795698924730926,0.02978494623655902,0.03741935483870951,0.052795698924730926
