,ID,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q,positive_x,negative_x,neutral,compund,positive_y,negative_y,anger,disgust,fear,sadness,anticipation,joy,surprise,trust,genre
19,299.0,0.3039513067402577,0.3822911383233099,0.3120433059093244,0.3039513067402576,0.3822911383233098,0.31204330590932444,0.20226202143035077,0.14972099568149838,0.4477401129943503,0.9359679321572907,0.30000229721344907,0.45582085354351154,0.0,0.5211801944320857,0.7440617099020188,0.08182877111240536,0.4596651445966514,0.023233289630653298,0.7143811557834845,0.5866683160539569,0.2341999862573886,0.1847713871848148,0.16998741503328252,0.6779953693580132,0.002584932233332279,0.0023666362448775077,0.008958127857301788,0.07223239259769498,0.24743485339351678,0.6590816712468102,0.6423895562245178,0.6121717679356489,0.49544490583912043,0.2960966821263581,0.2601960301520453,0.3523292476791333,0.41317092071502715,0.2790505221024955,Humorous and Wit and Satire
20,211.0,0.2779905495312839,0.2994710528222593,0.2780878846198081,0.27799054953128377,0.2994710528222592,0.27808788461980816,0.5359619212437667,0.03812352585779787,0.009887005649717515,0.5272527761875594,0.48168975106752576,0.6534853496678255,0.0,0.3760703437538961,0.5984083162017986,0.25072801397786837,0.3013698630136986,0.10770385460783789,0.39021782548069,0.64115256256824,0.699710880083143,0.45921929166223807,0.2789682575059408,0.4537045823693602,0.011573219904596413,0.0,0.009858663001523901,0.07331513867995229,0.3491385543058846,1.0,0.9999999999999999,0.9447043563943246,0.9999999999999998,0.7598189940650805,0.5806132276659325,0.6632510344798044,0.6537554054768226,0.47032983621885505,Allegories
21,340.0,0.22128522692756009,0.24780812984566336,0.22683463552648728,0.22128522692756,0.2478081298456633,0.22683463552648736,0.5157338567785652,0.04658845555706542,0.1638418079096045,0.30997991415047954,0.6307232201117148,0.36902402136483237,0.0,0.48498388793869923,0.6130583155618963,0.17341292952824694,0.18899036022323695,0.11715522329333072,0.4861154045607436,0.3564308881337185,0.1710148707710931,0.059478167543079115,0.11800739001396814,0.4173762358507961,0.0,0.0,0.016627952033885774,0.06539301355622265,0.49629342995172,0.09367770030519929,0.018346996154121054,0.2957290492695698,0.0,0.04970193739779227,0.3226353246567909,0.49364695093792366,0.23318157494698144,0.47657866252742753,Literary
22,170.0,0.3108354050338348,0.49858705890877475,0.3350189003304682,0.31083540503383467,0.49858705890877464,0.33501890033046827,0.49389696046294174,0.031721391275383745,0.31214689265536727,0.18686045046970579,0.7569575958481529,0.08796452202457505,0.0,0.2111316162311902,1.0,0.2377693651718113,0.22425164890918314,0.13616438356164384,0.6929791837569534,0.2744327215363842,0.16010706196553542,0.26765112238437283,0.2404904840976769,0.8308880822575421,0.00974380353728941,0.0,0.004182779066097231,0.0743689463354932,0.5240358608156809,0.5544642733764413,0.30854020405878735,0.5318455598455621,0.3625100732600743,0.4807575673007618,0.2828590960595586,0.9174616483490308,0.542680218234546,0.2830990649891909,Love and Romance
23,143.0,0.3837824132919077,0.3388160278240707,0.3850261844334884,0.38378241329190754,0.33881602782407066,0.38502618443348846,0.5996981942184869,0.09951738169490675,0.3305084745762712,0.9048191193036108,0.2797498765152211,0.4858865563157131,0.0,0.09623017191725147,0.4072574027701719,0.30576587070471756,0.3517250126839168,0.11292057151636198,0.2926275380298364,0.44918978882372074,0.1860344772507673,0.1344220801762513,0.18672224671235427,0.24499474625011045,0.0,0.0,0.011587576287158187,0.06539301355622265,0.30651333366538036,0.31035773473596895,0.279757066873248,0.5520305199618258,0.2020525484354771,0.2146275378204362,0.16396466398608567,0.4341760467625123,0.23164481103549273,0.19775745053761318,Love and Romance
24,192.0,0.1131227966827131,0.09513803347583509,0.11470545387629291,0.11312279668271304,0.09513803347583508,0.11470545387629294,0.7328582712776581,0.0,0.1059322033898305,0.4523812138723624,0.5121637410657702,0.5350285099733862,0.0,0.299332619756523,0.35781087760321734,0.09449621432731509,0.06988838153221714,0.16243564073226543,0.2577768605863325,0.5992965397812956,0.4018465588257352,0.31297484338912956,0.17848608211207698,0.20010361354866876,0.04412947948257723,0.0,0.03252363958604716,0.11540934154256424,0.7060920624510371,0.3036258302930295,0.2853376713371989,0.6217240968953314,0.29643957326081244,0.49169089697075086,0.705791990189719,0.7606925526933259,0.2416825820931896,0.5469205084151281,Allegories
25,374.0,0.2931628444454858,0.4158394319252228,0.30514641047070634,0.29316284444548557,0.4158394319252228,0.3051464104707064,0.3919130450141599,0.020871988608883583,0.043785310734463276,0.5315605658560663,0.47121205027162194,0.43402367770337036,0.0,0.23703301815955696,0.876841388791967,0.38672102504368083,0.22628107559614408,0.21954041990411638,0.5591052923968542,0.0,0.26602772737513797,0.02408131790162963,0.4063020911805752,0.6403331956259015,0.0,0.04202988023212742,0.0039908553069314,0.058991866529738604,0.429547363495831,0.6226355387448244,0.5179887574007379,0.5912363294733183,0.6568965184499089,0.33708768327146765,0.3062624588173214,0.7037658748366726,0.686215183880813,0.20396256961490355,Literary
26,357.0,0.2254012934774696,0.2555611912180277,0.2307680511574056,0.22540129347746954,0.2555611912180277,0.23076805115740565,0.5708471221283504,0.045807872968366796,0.2556497175141243,0.5858795487565893,0.6320976425999336,0.30048988545063415,0.0,0.2351154988620257,0.6279543222196784,0.1416715200931858,0.2895738203957382,0.06327573392790783,0.44894957976916033,0.4866368033463836,0.11560281029582542,0.07209595088068481,0.1998297783574764,0.5433826907048633,0.006076204974484122,0.023296416243519517,0.011409804929877044,0.06338164510248664,0.2017188194397025,0.5190787481167078,0.5241659045861856,0.6180019936232359,0.47970760695069986,0.3072929349464826,0.09465909401824935,0.2688282464263929,0.5323539326047679,0.24410795835753452,Literary
27,402.0,0.2824078529094039,0.21940439098616044,0.2863457572016776,0.2824078529094038,0.21940439098616038,0.28634575720167765,0.6386094786750383,0.11852548966884859,0.35028248587570626,0.5312731926840653,0.5145068048067682,0.3281469601458489,0.0,0.24075207089413458,0.29623231498290076,0.21782178217821782,0.1464992389649924,0.187831826660927,0.21661233849147715,0.6645524000718291,0.17845004221382837,0.23740109649029353,0.12313796826314273,0.4497841596713599,0.0,0.0,0.01904442232617975,0.06539301355622265,0.36129638725394664,0.4524546802527718,0.31729778553235954,0.5155528101677135,0.28535236104461265,0.36179494321908456,0.3176750153982374,0.3682617594191886,0.7462692039665797,0.4367301913750252,Sea and Adventure
28,350.0,0.2403359460049721,0.20969494964133034,0.2324357273751926,0.240335946004972,0.20969494964133029,0.23243572737519266,0.7331793152044719,0.03638781156901505,0.08898305084745763,0.8013376767993483,0.4794569261740347,0.48949564084747554,0.0,0.09969975190203989,0.4343353017820994,0.15171811298776938,0.2451801116184678,0.07968101376447455,0.40531920807558425,0.3432446820483043,0.21913958014269044,0.03016662679407267,0.10161037884253513,0.06490027337511994,0.010455210121431748,0.01769517330741821,0.014701361310624137,0.07178534722862354,0.6056238937170516,0.4519117521760543,0.4290037536303344,0.5673643706019779,0.49536075097880433,0.2702319876388485,0.5335690534660841,0.4534924539912951,0.5059732272594277,0.6040086305951906,Literary
